Aaron	A R OH N
Charles	CH A R L
Charlez
Charlie CH A R L I
Charlota
Charlotte	CH A R L OH T
C'hireg
Christina	K R I S T I N A
Christine	K R I S T I N
Christopher	K R I S T O F OE R
Chuck	T CH OE K
Claire	K L EH R
Claude	K L O D
Clément	K L E M AN
Clotilde	K L O T I L D
Coline	K O L I N
Colyne	K O L I N
Constant	K ON S T AN
Dalida
Dalton
Damian
Damien	D A M I EN
Dana
Daniela
Daniel	D A N I EH L
Darius
David	D A V I D
David	D EY V I D
Dean	D I N
Demeter	D E M E T EH R
Denez
Deneza
Deniel
Denis	D EU N I
Derc'hen
Devi
Dewi
Diana
Diboan
Dider
Didier	D I D I E
Divi
Dom
Dominig
Dona
Donald
Donasian
Dorotea
Douglas
Drian
Dylan
Edern
Édith	E D I T
Ediz
Edmond
Edouard	E D OU A R
Edouarzh
Eflamm
Egrefouilh
Eleanora
Elena
Elen	E L EH N
Eleonore	E L E O N OH R
Eleonor	E L E O N OH R
Elesbed
Elia
Eliaz
Eligius
Eliot	E L I OH T
Elise	E L I Z
Eliza
Elizabed
Elizea
Elliot
Elodie	E L O D I
Elouan
Elvira
Elvis	EH L V I S
Elza	EH L Z A
Emanuel
Emil	E M I L
Emilia
Emilie	E M I L I
Emilio
Emma
Emmanuel	E M A N U EH L
Emmanuelle	E M A N U EH L
Enoc'h
Enola
Enora
Enori
Eozen
Erell
Eric	E R I K
Erik
Erika
Eripin
Erispoe
Erle	EH R L E
Ernest	EH R N EH S T
Erwan	EH R W AN N
Erwanig
Estelle	E S T EH L
Ester
Etien
Etienne	E T I EH N
Étienne	E T I EH N
Eudon	EU D ON
Eugène	EU J EH N
Eugénie EU J E N I
Euklides
Euripides
Eustach
Euzeb
Eva
Evelyne E V EU L I N
Évelyne E V L I N
Ewen	E OU EH N
Ezaias
Ezekiel E Z E K I EH L
Ezop
Fabian
Fabien	F A B I EN
Fabris
Fañch
Fañchig
Fañchon
Fanny
Fant
Fantig
Felipe
Felis
Felisia
Félix	F E L I K S
Ferdinand	F EH R D I N AN
Fernant
Fieg
Fiega
Filiber
Filiberzh
Filip
Filomena
Firmin
Flo
Flora
Florence	F L O R AN S
Florent	F L O R AN
Florian
Florie	F L O R I
Fragan
Francine F R AN S I N
Françoise F R AN S O A Z
François F R AN S O A
Frank
Frañsa
Frañsez
Frañseza
Frañsezaig
Frañsezig
Frañsis
Frederig
Frederik
Frida
Fulup
Fulupig
Gabriel
Gabriela
Gabrielaig
Gabrielig
Gael
Gaël	G A EH L
Gaëlle	G A EH L
Gaid
Gamaliel
Gandalf	G AN D A L F
Gandhi	G AN D I
Gaoter
Garan
Gaston	G A S T ON
Gautier	G O T I E
Gedeon
Geoffrey J O F R E
Germain J EH R M EN
Gien
Giezi
Gilbert	J I L B EH R
Gildas	J I L D A
Gilles	J I L
Gina	D J I N A
Gina	D J I N A
Gireg
Glaod
Glaoda
Glaodaig
Glaodina
Glenn
Glervi
Gouenaoùig
Gouenoù
Goulc'han
Goulven
Goulwena
Govrian
Gregor
Gregorig
Guillaume G I O M
Gurvan
Gustav
Gustave	G U S T A V
Guy G I
Gwazel
Gweltaz	G W EH L T A S
Gwenael
Gwenc'hlan
Gwendal
Gwenhael
Gwenhaelig
Gwennael
Gwenn	G W EH N
Gwennin
Gwennyn
Gwenola
Gwenole
Gwentrog
Gwenvred
Gwilhaouig
Gwilhemed
Gwilherm
Gwilhom
Gwilhomig
Gwilhoù
Gwion
Gwyn	G W I N
Hamon
Hamonig
Hektor
Helena
Heloise	E L O I Z
Henri	EN R I
Henriette	EN R I EH T
Heodez
Herle H EH R L E
Hernin
Herri
Herried
Herve
Herveig
Hilari
Hoel
Hollsent
Houarvian
Hubert	U B EH R
Hugo U G O
Hugues U G
Huguette	U G EH T
Hugus
Icare I K A R
If
Ifig
Ignas
Igno
Ildud
Ildut
Ilieg
Ipolit
Irien
Iris
Isabella	I Z A B EH L A
Isabelle I Z A B EH L
Ivan	I V AN
Ivon
Ivona
Ivoned
Ivonig
Izaag
Izabel
Izidor
Jacob	J A K OH B
Jafrez
Jaketa
Jakez
Jakob
Jalm
Janed
Janedig
Jani
Janig
Janis
Jan	J AN
Jann
Jann-Louiz
Jarlig
Jason	J EH I Z OH N
Jay D J EY
Jeanine	J A N I N
Jean J AN
Jeanne J A N
Jegu
Jelvestr
Jelvez
Jelvezig
Jenovefa
Jenovefaig
Jeremiaz
Jermana
Jermen
Jermena
Jerom
Jezus
Jezuz
Jilberzh
Jiled
Jileta
Jili
Joakim
Joan	J O A N
Job	J OH B
Johan	J O A N
Jojo
Jonaz
Jord
Jorj	J OH R J
Josephine J O Z E F I N
Josilin
Jozafaz
Jozeb
Jozefa
Jozuel
Jud
Judaz
Jul
Juliana
Julieta
Juliuz
Juluan
Justinian
Kadoù
Kaifaz
Kain
Kaou
Kaourintin
Kaourintina
Karadeg
Kasañdr
Katelin
Katell	K A T EH L
Katrina
Kenan
Keres
Kireg
Klara
Klariz
Kledenn
Kledennig
Kledig
Klemañs
Klemeza
Kolaig
Kolaz
Kolodan
Kolomban
Konan
Konogan
Konstañs
Konstanza
Konwoion
Korneli
Kouled
Koulm
Koupaia
Kristell
Kristian
Kristina
Kristol
Kustentin
Lannig
Lanselod
Laorañs
Laors
Laouig
Laura	L O R A
Laure	L OH R
Laurence	L O R AN S
Laurent L O R AN
Lea
Lell
Lellig
Lem
Lena
Lenaig
Léo	L E O
Leon
Leonardo	L E O N A R D O
Léon	L E ON
Leonor	L E O N OH R
Leopoldine	L E O P OH L D I N
Leopold	L E O P OH L D
Leslie	L E S L I
Levenez
Levi
Lilwenn
Linda
Lionel	L I O N EH L
Lisenn
Liza
Lizig
Lloyd	L OH I D
Loeiz
Loeiza
Loeizig
Loig	L O I G
Loïg	L O I K
Loka
Lola
Lolotte	L O L OH T
Lors
Lot
Lou
Louise	L OU I Z
Louis	L OU I
Louiz
Loula
Lucas	L U K A
Lucie	L U S I
Lucky	L U K I
Luc	L U K
Luis	L OU I S
Lukan
Lukaz
Luke	L U K
Lula	L OU L A
Lulu
Lus
Lusian
Madalen
Madeleine	M A D EU L EH N
Madeleine	M A D L EH N
Madelyn
Madelynn	M A D E L I N
Mae
Mael
Maela
Magali	M A G A L I
Magdalena
Mahomed
Mai
Mailys	M A I L I S
Maina
Maïna	M A I N A
Maiwenn
Maksentius
Maksimian
Maksimilian
Maksimius
Malcolm	M A L K OH L M
Malo
Maloù
Manu
Manuel
Maodez
Maor
Maoris
Marc'harid	M A X A R I T
Marc	M A R K
Marco M A R K O
Margod
Margodig
Mari
Maria
Mariana
Marianna
Marianne	M A R I A N
Marie	M A R I
Marijan
Marijanig
Mari-Jann
Marika
Marilia
Marilou
Marilyn	M A R I L I N
Marine	M A R I N
Mario
Marion	M A R I ON
Marius
Marivona
Mark
Marko
Marsel	M A R S EH L
Marta
Marthe	M A R T
Martial	M A R S I A L
Martine	M A R T I N
Martin	M A R T EN
Martin	M A R T I N
Marty
Mary
Maryse	M A R I Z
Marzhin
Mathias	M A T I A S
Mathieu	M A T I EU
Mathilde	M A T I L D
Mathurin	M A T U R EN
Matiaz
Matilda
Matilin
Maurice	M O R I S
Maxime	M A K S I M
Max	M A K S
Maya	M A IA
Mazheaz
Mazhev	M A Z E O
Melani
Melania
Melar
Melusina	M E L U Z I N A
Melwen
Meriadeg
Metig
Meven
Mevena
Michel	M I CH EH L
Mikael
Milio
Milou
Mohammed
Molière	M O L I EH R
Mona
Monika
Monique M O N I K
Morvan	M OH R V AN
Morvan	M OH R V AN N
Muriel	M U R I EH L
Nabod
Naig
Natalia
Nerin
Nicolas	N I K O L A
Nicole N I K OH L
Nico	N I K O
Nikolas
Nikolaz
Nikolazig
Nikol	N I K OH L
Nil
Noe
Nominoe
Nominoë	N O M I N O E
Norberd
Oanez
Odil
Odile	O D I L
Og
Olga
Olier	O L I EH R
Oliver	O L I V OE R
Ophélie	O F E L I
Oreadenn
Orijenez
Orwen
Osian
Oulierig
Ovid
Owen	O W EH N
Pablo
Pabu
Padern
Padrig
Pandora
Paol
Paola
Paolig
Paolina
Pascale	P A S K A L
Pascal	P A S K A L
Paskal
Patrice	P A T R I S
Patricia	P A T R I S I A
Patrik
Pauline	P O L I N
Paulo	P O L O
Paul	P OH L
Pedro
Per
Pêr
Perig
Perina
Peron
Perrine	P E R I N
Perseval
Pêr-Vari
Perynn P E R I N
Peter	P I T OE R
Philippe	F I L I P
Pi
Piero
Pierre P I EH R
Pierrette	P I E R EH T
Pierrot	P I E R O
Pipi
Pius
Pol
Preben	P R E B EH N
Prosper	P R O S P EH R
Quentin	K AN T EN
Rac'hel
Rafael
Raoul
Rebecca	R E B E K A
Remont
Remy R E M I
Renan
Renault	R EU N O
Renea
Renée	R EU N E
René	R EU N E
Reun
Reuna
Rhys	R I S
Richard	R I CH A R
Richarzh
Rikoù
Rivanona
Riwal
Riwanon
Robert R O B EH R
Robert R O B OE R T
Robin
Rodrigo
Roger R O J E
Rojer
Rok
Roland	R O L AN
Rolant
Rolland	R O L AN
Romain	R O M EN
Romuald
Ronan
Roparz
Roparzh
Rosalie	R O Z A L I
Rose R O Z
Rosetta R O Z E T A
Rosette R O Z EH T
Ruby	R U B I
Ryan	R A I A N
Sabrina
Sacha	S A CH A
Saig
Salomon
Salvatore
Sam
Samuel	S A M U EH L
Samzun
Sandra
Sandrine S AN D R I N
Saozig
Sara
Sasha	S A CH A
Sebastian
Selvestr
Sergio	S EH R J I O
Serj
Sesilia
Sezni
Sheila	CH EH I L A
Silvan
Silvestr
Silvestrig
Silvia
Simeon
Simforian
Simone	S I M OH N
Simon S I M ON
Siprian
Skerenn
Sklaer
Sklaera
Soaz
Soazig
Sofi
Sofia
Soig
Solenn
Sophie	S O F I
Stanislas
Stanley S T A N L EH
Stefani
Stefano
Stefan S T E F A N
Steffan	S T E F AN N
Sten
Stéphane	S T E F A N
Stéphanie S T E F A N I
Stephen S T I V OE N
Steven
Sulian
Susan	S U Z A N
Suzana
Suzanne	S U Z A N
Sylvain S I L V EN
Taldir
Talwyn	T A L W I N
Tangi
Tefan
Tegoneg
Teilo
Telo
Tenenan
Teodor
Thelo T E L O
Theodore	T E O D OH R
Théo	T E O
Thérèse	T E R EH Z
Thierry T I E R I
Thomas	T O M A
Thorgal T OH R G A L
Thor	T OH R
Tifenn
Tim
Tin
Titeuf	T I T OE F
Titus
Tobias
Tomaz
Tom	T OH M
Tremeur
Trifin
Trifina
Tristan
Tristan	T R I S T AN
Tual
Tudu
Tudual
Tudwal
Tugdual
Turian
Turiav	T U R I A O
Turio
Ujen
Urfol
Uriell
Ursula
Vadezour
Valentino
Valerian
Valérie	V A L E R I
Valo
Vanessa	V A N E S A
Vaodez
Vari
Varia
Vark
Varzhin
Vastian
Vaxime	V A K S I M
Véronique	V E R O N I K
Vichel V I CH EH L
Victor V I K T OH R
Vikael
Viktoria
Viktor V I K T OH R
Vincent	V EN S AN
Virginia V I R J I N I A
Virginie V I R J I N I
Visant
Voris
Weltaz W EH L T A S
Wenole
Wenvael
William
Wilson	W I L S OH N
Xavier	G Z A V I E
Yann
Yann-Bêr
Yann-Cheun
Yann-Fañch
Yann-Glaoda
Yannig
Yann-Kêl
Yann-Vadezour
Yann-Vari
Yoann
Youenn
Youna
Yudikael
Yuna
Yuzaz
Yuzed
Yuzikael
Yvan	I V AN
Yves	I V
Yvette	I V EH T
Yvon	I V ON
Zabel
Zavier	Z A V I E
Zelda	Z EH L D A
Zenon
Zoe
